id,symbol,datetime,open_price,high_price,low_price,close_price,volume,rsi_5,rsi_7,rsi_10,rsi_14,rsi_21,dif,macd,macd_histogram,rsv,k_value,d_value,j_value,ma5,ma10,ma20,ma60,ema12,ema26,bb_upper,bb_middle,bb_lower,atr,cci,willr,mom,created_at,updated_at,pattern_signals,MA_Cross,BB_Signal,MACD_Cross,Trend,MACD_Div,Anomaly,RSI_Signal,KD_Signal,SR_Signal,Volume_Anomaly,EMA_Cross,CCI_Signal,WILLR_Signal,MOM_Signal,Buy_Signals,Sell_Signals,Trade_Signal,Signal_Strength
674,9950,2025-04-10,10.95,10.95,10.3,10.95,173000,33.9722,31.4907,30.0415,29.6798,30.8,-0.7421,-0.4365,-0.3055,30.8094,20.3512,22.7053,15.6431,11.352,12.286,12.9355,13.7352,12.1208,12.8629,15.1058,12.9355,10.7652,0.4918,-130.0344,-71.4286,-2.65,2025-06-25 22:29:13.833333,2025-07-03 14:55:21.246666,"十字,蜻蜓十字,上吊線,長腿十字,探水竿",,,,偏空,,,超賣,,接近支撐位,量能異常,,CCI超賣,,,2.8,0.5,,
675,9950,2025-04-11,10.45,11.1,10.45,11.0,84035,35.163,32.4883,30.8897,30.4066,31.3773,-0.7765,-0.5045,-0.272,32.9759,24.5594,23.3233,27.0316,10.922,12.031,12.8055,13.6743,11.9484,12.7249,15.1084,12.8055,10.5026,0.5031,-97.2562,-70.2179,-2.55,2025-06-25 22:29:13.833333,2025-07-03 14:55:21.250000,"捉腰帶線,長蠟燭",,,,偏空,,,接近超賣,K上穿D,,,,,,,1.4,0.5,,
676,9950,2025-04-14,11.05,11.1,10.7,11.0,33010,35.163,32.4883,30.8897,30.4066,31.3773,-0.7947,-0.5626,-0.2321,36.3905,28.5031,25.0499,35.4095,10.752,11.771,12.678,13.616,11.8025,12.5971,15.0821,12.678,10.2739,0.4958,-76.9205,-70.2179,-2.6,2025-06-25 22:29:13.833333,2025-07-03 14:55:21.250000,,,,,偏空,,,接近超賣,,,,,,,,0.4,0.5,,
677,9950,2025-04-15,11.15,12.0,11.05,11.95,67000,57.7725,50.9575,46.1928,43.3158,41.5851,-0.724,-0.5949,-0.1292,64.497,40.5011,30.2003,61.1027,10.972,11.656,12.5955,13.5727,11.8252,12.5492,14.9805,12.5955,10.2105,0.5318,-28.266,-47.2155,-1.15,2025-06-25 22:29:13.833333,2025-07-03 14:55:21.250000,長蠟燭,,,,偏空,,,,,,,,,,,0.0,0.5,,
678,9950,2025-04-16,11.55,11.7,11.5,11.7,17030,51.8275,47.0091,43.3839,41.1524,39.9433,-0.6804,-0.612,-0.0684,57.1006,46.0343,35.4783,67.1462,11.32,11.556,12.498,13.5268,11.8059,12.4863,14.862,12.498,10.134,0.5259,-23.7343,-51.5075,-1.0,2025-06-25 22:29:13.836666,2025-07-03 14:55:21.250000,"孕線,短蠟燭",,,,偏空,,,,,,,,,,,0.0,0.5,,
679,9950,2025-04-17,11.25,11.75,11.0,11.7,19000,51.8275,47.0091,43.3839,41.1524,39.9433,-0.6384,-0.6173,-0.0212,86.5471,59.5385,43.4984,91.6188,11.47,11.411,12.403,13.481,11.7896,12.4281,14.7347,12.403,10.0713,0.5419,-26.9436,-51.5075,-1.45,2025-06-25 22:29:13.836666,2025-07-03 14:55:21.250000,,,,,偏空,,,,,,,,,,,0.0,0.5,,
680,9950,2025-04-18,11.75,11.8,11.7,11.7,28000,51.8275,47.0091,43.3839,41.1524,39.9433,-0.5983,-0.6135,0.0152,86.5471,68.5414,51.8461,101.9321,11.61,11.266,12.3105,13.4368,11.7758,12.3741,14.5992,12.3105,10.0218,0.5104,0.768,-50.8906,-1.45,2025-06-25 22:29:13.836666,2025-07-03 14:55:21.253333,"十字,短蠟燭",,,黃金交叉,偏空,,,,,,,,CCI上穿零軸,,,2.3,0.5,,
681,9950,2025-04-21,11.3,11.55,11.25,11.55,41000,46.2501,43.7773,41.3161,39.6678,38.8772,-0.572,-0.6052,0.0332,79.8206,72.3011,58.6644,99.5746,11.72,11.236,12.213,13.3993,11.7411,12.3131,14.4564,12.213,9.9696,0.5061,-14.9709,-54.7074,-0.3,2025-06-25 22:29:13.836666,2025-07-03 14:55:21.253333,短蠟燭,,,,偏空,,,,,,,,CCI下穿零軸,,,0.0,1.4,,
682,9950,2025-04-22,10.8,11.45,10.8,11.4,10000,40.7664,40.5268,39.2381,38.1842,37.8174,-0.5568,-0.5955,0.0387,64.7059,69.7694,62.3661,84.576,11.61,11.291,12.103,13.3577,11.6886,12.2454,14.2783,12.103,9.9277,0.5235,-30.972,-58.5242,0.55,2025-06-25 22:29:13.840000,2025-07-03 14:55:21.256666,"捉腰帶線,光頭,長蠟燭,上漲光頭光腳",,,,偏空,,,,,,,,,,動量轉正,0.6,0.5,,
683,9950,2025-04-23,11.7,11.7,11.5,11.7,31000,54.3098,49.3091,45.3465,42.7924,41.1844,-0.5147,-0.5793,0.0647,80.6452,73.3946,66.0423,88.0994,11.61,11.465,12.008,13.3177,11.6904,12.205,14.0768,12.008,9.9392,0.5075,33.0164,-50.8906,1.74,2025-06-25 22:29:13.840000,2025-07-03 14:55:21.256666,"十字,十字星,蜻蜓十字,上吊線,長腿十字,探水竿",,,,偏空,,,,,,,,CCI上穿零軸,,,0.9,0.5,,
684,9950,2025-04-24,11.7,11.7,11.65,11.65,17000,51.8404,47.9328,44.5178,42.2274,40.7978,-0.4798,-0.5594,0.0797,73.0769,73.2887,68.4578,82.9507,11.6,11.535,11.9105,13.2785,11.6842,12.1639,13.8498,11.9105,9.9712,0.4748,62.7919,-50.9138,0.7,2025-06-25 22:29:13.840000,2025-07-03 14:55:21.260000,"空頭吞沒,短蠟燭",,,,偏空,,,,,,,,,,,0.0,0.5,,
685,9950,2025-04-25,11.9,12.0,11.65,12.0,19000,65.5474,57.5982,51.423,47.4572,44.6188,-0.419,-0.5313,0.1123,100.0,82.1925,73.036,100.5055,11.66,11.635,11.833,13.2452,11.7327,12.1518,13.6221,11.833,10.0439,0.4659,97.5765,-41.7755,1.0,2025-06-25 22:29:13.840000,2025-07-03 14:55:21.260000,上吊線,,,,偏多,,,,,,,,,,,0.5,0.0,,
686,9950,2025-04-28,12.15,12.5,11.85,12.05,39000,67.2137,58.8707,52.3641,48.1789,45.1498,-0.3627,-0.4976,0.1349,73.5294,79.3048,75.1256,87.6632,11.76,11.74,11.7555,13.2127,11.7816,12.1442,13.356,11.7555,10.155,0.4791,121.3227,-38.874,1.05,2025-06-25 22:29:13.840000,2025-07-03 14:55:21.260000,"風高浪大線,紡錘線",突破MA20,,,偏多,,,,,,,,CCI超買,,,2.0,0.9,,
